id	filename	md5	size	state
00252d7f-e222-462f-badc-b97e8dce2021	00252d7f-e222-462f-badc-b97e8dce2021/5abd235a-829b-4457-8f47-ecd1adab30ca.rna_seq.augmented_star_gene_counts.tsv	b239c31eb7b209a7657430eb632978f2	4240970	validated
01851b83-f8c4-4108-99c9-248fe29e39e9	01851b83-f8c4-4108-99c9-248fe29e39e9/6dd12311-581d-46fd-9b98-6523b67ec2e4.rna_seq.augmented_star_gene_counts.tsv	d2832e32406b7302c3cec58a1c49060a	4245998	validated
02c1c266-473f-437d-b768-20f685349ecb	02c1c266-473f-437d-b768-20f685349ecb/8a31c02d-a429-4d4e-a461-8024bea95b1a.rna_seq.augmented_star_gene_counts.tsv	99830576f6aa4d8d8acea444c22df0d1	4232393	validated
0498e4e5-f3cc-4fa5-9686-099ab9e435f4	0498e4e5-f3cc-4fa5-9686-099ab9e435f4/59fe9111-5941-4230-9795-7df8064015a5.rna_seq.augmented_star_gene_counts.tsv	0bdb772bf36e1eecca7213f21e09a472	4250426	validated
05aedbb7-c56c-4756-b8e8-302afaedcb4c	05aedbb7-c56c-4756-b8e8-302afaedcb4c/666b7828-2433-452a-9ae4-f93d8bb1dc07.rna_seq.augmented_star_gene_counts.tsv	e1acfcf0da7ae789abc0b39cb8b0b527	4232427	validated
0699530d-22a4-4fb0-a17c-ff78397c5316	0699530d-22a4-4fb0-a17c-ff78397c5316/29c9d4b8-b879-49d8-82e6-fd5ac79c2e6c.rna_seq.augmented_star_gene_counts.tsv	c72c3d1dfbb4f317e2732bf21b7f650c	4241561	validated
0a98d561-9c8c-40d2-aaaf-cad735533329	0a98d561-9c8c-40d2-aaaf-cad735533329/bf9bece0-fb79-4722-a830-308cc5403c0f.rna_seq.augmented_star_gene_counts.tsv	b36efd8192fc81a4c1ac75164d533553	4233898	validated
18913801-b38a-4439-8b34-25a7138e8fdd	18913801-b38a-4439-8b34-25a7138e8fdd/c2fc96b4-551d-46ff-bd1d-65e1a8c5df2a.rna_seq.augmented_star_gene_counts.tsv	7a1f74fb303d23633f7eec3fffc4bc70	4243944	validated
200dfa9f-ed6f-4434-9dde-7833f4d3b275	200dfa9f-ed6f-4434-9dde-7833f4d3b275/8283ab27-1a92-41f4-af55-6c115308d5bc.rna_seq.augmented_star_gene_counts.tsv	42a7c80edc573133a91441a368eb2443	4253057	validated
213b2ef0-57cb-4fa3-9d56-2bda451006c9	213b2ef0-57cb-4fa3-9d56-2bda451006c9/5f580a37-a7b6-495f-b2a0-aea58c4d303a.rna_seq.augmented_star_gene_counts.tsv	185b0af5a48b09be44da0589a9ce59a6	4249459	validated
